repository,pr_number,pr_title,pr_url,pr_state,created_at,author,merged_at,closed_at,time_to_merge_hours,time_to_close_hours,test_files_count,test_files_with_keywords,total_files_changed,total_lines_added,total_lines_deleted,total_lines_changed,js_files_changed,test_files_changed,total_test_keyword_occurrences,total_async_keyword_occurrences,total_promise_occurrences,total_async_occurrences,total_await_occurrences,avg_test_keywords_per_file,avg_async_keywords_per_file,avg_promise_per_file,avg_async_per_file,avg_await_per_file,commits_count,labels_count,assignees_count,reviewers_count,has_matching_content,analysis_success,labels,assignees,reviewers
microsoft/playwright,35323,feat(j unit reporter): adds reporting on retries and path to JUnit reporter,https://github.com/microsoft/playwright/pull/35323,closed,2025-03-21T23:16:37Z,carolopolo,,2025-04-01T16:40:57Z,,257.40555555555557,1,1,2,81,46,127,2,1,0,82,1,51,30,0.0,82.0,1.0,51.0,30.0,1,0,0,0,True,True,,,
microsoft/playwright,35106,feat: implement fixmeinci modifier to conditionally skip tests in CI environments,https://github.com/microsoft/playwright/pull/35106,closed,2025-03-09T05:22:03Z,Sharma-IT,,2025-03-11T02:01:33Z,,44.65833333333333,2,1,5,306,18,324,5,3,0,14,0,10,4,0.0,7.0,0.0,5.0,2.0,2,0,0,0,True,True,,,
microsoft/playwright,34323,test(bidi): create inspected page before initializing recorder,https://github.com/microsoft/playwright/pull/34323,closed,2025-01-14T20:54:21Z,yury-s,2025-01-14T22:57:42Z,2025-01-14T22:57:42Z,2.055833333333333,2.055833333333333,1,1,1,5,1,6,1,1,0,225,4,67,154,0.0,225.0,4.0,67.0,154.0,1,0,0,0,True,True,,,
mikro-orm/mikro-orm,5630,fix(core): ensure correct mapping of related columns to owning entity fields for complex relations,https://github.com/mikro-orm/mikro-orm/pull/5630,closed,2024-05-30T02:31:06Z,russell-dot-js,2024-06-04T16:09:21Z,2024-06-04T16:09:21Z,133.6375,133.6375,2,1,3,350,39,389,2,2,0,8,0,3,5,0.0,4.0,0.0,1.5,2.5,10,0,0,0,True,True,,,
mongodb/node-mongodb-native,4537,test: add logging for gcp flaky test,https://github.com/mongodb/node-mongodb-native/pull/4537,closed,2025-05-06T15:43:32Z,durran,2025-05-06T18:45:33Z,2025-05-06T18:45:33Z,3.033611111111111,3.033611111111111,1,1,2,7,0,7,2,2,0,16,2,7,7,0.0,16.0,2.0,7.0,7.0,2,0,0,0,True,True,,,
mongodb/node-mongodb-native,4496,ci(NODE-6860): add logging for known flaky tests,https://github.com/mongodb/node-mongodb-native/pull/4496,closed,2025-04-01T19:53:17Z,nbbeeken,2025-04-08T16:20:47Z,2025-04-08T16:20:47Z,164.45833333333334,164.45833333333334,4,2,8,231,69,300,8,8,0,173,8,62,103,0.0,43.25,2.0,15.5,25.75,13,1,1,0,True,True,Primary Review,baileympearson,
mongodb/node-mongodb-native,4467,ci: skip flaky tests in FLE test suite,https://github.com/mongodb/node-mongodb-native/pull/4467,closed,2025-03-14T16:09:29Z,baileympearson,2025-03-17T15:18:36Z,2025-03-17T15:18:36Z,71.15194444444444,71.15194444444444,2,1,2,10,2,12,2,2,0,154,8,54,92,0.0,77.0,4.0,27.0,46.0,1,0,0,0,True,True,,,
mongodb/node-mongodb-native,4466,ci: skip flaky tests in retryable reads and sdam suites,https://github.com/mongodb/node-mongodb-native/pull/4466,closed,2025-03-14T15:53:18Z,baileympearson,2025-03-14T21:00:38Z,2025-03-14T21:00:38Z,5.122222222222222,5.122222222222222,2,1,2,40,31,71,2,2,0,19,0,8,11,0.0,9.5,0.0,4.0,5.5,1,0,0,0,True,True,,,
mongodb/node-mongodb-native,4464,"ci(NODE-6519, NODE-6702): fix flaky listIndexes APM test and rtt calculation test",https://github.com/mongodb/node-mongodb-native/pull/4464,closed,2025-03-13T18:07:50Z,baileympearson,2025-03-14T19:53:05Z,2025-03-14T19:53:05Z,25.754166666666666,25.754166666666666,2,2,2,58,56,114,2,2,0,22,3,9,10,0.0,11.0,1.5,4.5,5.0,5,1,1,0,True,True,Primary Review,nbbeeken,
mongodb/node-mongodb-native,4460,chore(NODE-6859): sleep for longer to reduce flaky CSOT State machine #markCommand when csot is enabled and markCommand() takes longer than the remaining timeoutMS the command should fail due to a timeout error test,https://github.com/mongodb/node-mongodb-native/pull/4460,closed,2025-03-12T18:25:13Z,nbbeeken,2025-03-13T17:36:50Z,2025-03-13T17:36:50Z,23.19361111111111,23.19361111111111,1,1,1,1,1,2,1,1,0,174,2,68,104,0.0,174.0,2.0,68.0,104.0,1,1,1,0,True,True,Primary Review,baileympearson,
mongodb/node-mongodb-native,4459,chore(NODE-6848): reduce flakiness of Client Bulk Write CSOT enabled acknowledged writes when the timeout is reached while iterating the result cursor the bulk write operation times out,https://github.com/mongodb/node-mongodb-native/pull/4459,closed,2025-03-12T18:21:13Z,nbbeeken,2025-03-12T19:51:05Z,2025-03-12T19:51:05Z,1.4977777777777779,1.4977777777777779,1,1,1,3,2,5,1,1,0,55,0,19,36,0.0,55.0,0.0,19.0,36.0,2,1,1,0,True,True,Team Review,dariakp,
mongodb/node-mongodb-native,4458,chore(NODE-6847): fix flaky KMS closed error in should pass corpus without client schema,https://github.com/mongodb/node-mongodb-native/pull/4458,closed,2025-03-12T18:17:26Z,nbbeeken,,2025-03-12T22:00:55Z,,3.7247222222222223,1,1,2,16,9,25,2,1,0,17,1,4,12,0.0,17.0,1.0,4.0,12.0,1,0,0,0,True,True,,,
